#=================================================================,,,,,,,,,,
# Traffic (updated),,,,,,,,,,
# Report suite: GC,,,,,,,,,,
"# Date: Feb 1, 2025 - Feb 28, 2025",,,,,,,,,,
"# Segments: IRCC - EN & FR, Public traffic",,,,,,,,,,
#=================================================================,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Traffic,,,,,,,,,,
##############################################,,,,,,,,,,
,Daily average visits,Daily average visits,Visits,"Jan 1, 2025 - Jan 31, 2025",Page Views,"Jan 1, 2025 - Jan 31, 2025",Page Views per Visit,"Jan 1, 2025 - Jan 31, 2025",Daily average page views,"Jan 1, 2025 - Jan 31, 2025"
,Daily average visits,"Jan 1, 2025 - Jan 31, 2025",Visits,Visits,Page Views,Page Views,Page Views per Visit,Page Views per Visit,Daily average page views,Daily average page views
Month,812525.5357142857,853600.6333333333,22750715,25608019,73417914,83254292,3.227059633070873,3.251102398822806,2622068.357142857,2775143.066666667
2/1/2025,812525.5357142857,853600.6333333333,22750715,25608019,73417914,83254292,3.2270596330708727,3.2511023988228063,2622068.3571428573,2775143.066666667
,,,,,,,,,,
,,,,,,,,,,
#=================================================================,,,,,,,,,,
# Mobile (updated),,,,,,,,,,
# Report suite: GC,,,,,,,,,,
"# Date: Feb 1, 2025 - Feb 28, 2025",,,,,,,,,,
"# Segments: IRCC - EN & FR, Public traffic",,,,,,,,,,
#=================================================================,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Device types,,,,,,,,,,
##############################################,,,,,,,,,,
,Visits,,,,,,,,,
Device Type (v4),22778809,,,,,,,,,
mobile,12629117,,,,,,,,,
desktop,9791839,,,,,,,,,
tablet,357853,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Top mobile pages (updated),,,,,,,,,,
##############################################,,,,,,,,,,
,% mobile visits (min 1K visits),,,,,,,,,
Page URL (v12),0.5548570249010524,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/campaigns/before-apply-india-hi.html,0.9609494640122511,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/campaigns/claiming-asylum-fa.html,0.941973841,,,,,,,,,
www.canada.ca/fr/immigration-refugies-citoyennete/organisation/publications-guides/renseignements-demandeurs-dasile-ar.html,0.9365036476627938,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/campaigns/claiming-asylum-ar.html,0.9341749956163423,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/campaigns/claiming-asylum-bn.html,0.9312169312169312,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#=================================================================,,,,,,,,,,
# Traffic sources (same),,,,,,,,,,
# Report suite: GC,,,,,,,,,,
"# Date: Feb 1, 2025 - Feb 28, 2025",,,,,,,,,,
"# Segments: IRCC - EN & FR, Public traffic",,,,,,,,,,
#=================================================================,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Referrer types,,,,,,,,,,
##############################################,,,,,,,,,,
,,Entries,,,,,,,,
Referrer Type,,20317548,,,,,,,,
Search Engines,,10968945,,,,,,,,
Search Engines,Referring Domain,10968945,,,,,,,,
Search Engines,google.com,9343836,,,,,,,,
Search Engines,bing.com,635464,,,,,,,,
Search Engines,google.ca,499161,,,,,,,,
Search Engines,yahoo.com,171740,,,,,,,,
Search Engines,google.co.in,68634,,,,,,,,
Typed/Bookmarked,,6758544,,,,,,,,
Other Web Sites,,2016214,,,,,,,,
Social Networks,,573835,,,,,,,,
Social Networks,Referring Domain,573835,,,,,,,,
Social Networks,facebook.com,247261,,,,,,,,
Social Networks,linkedin.com,93974,,,,,,,,
Social Networks,lnkd.in,62856,,,,,,,,
Social Networks,youtube.com,58437,,,,,,,,
Social Networks,t.co,40281,,,,,,,,
Hard Drive,,10,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#=================================================================,,,,,,,,,,
# Top content (same),,,,,,,,,,
# Report suite: GC,,,,,,,,,,
"# Date: Feb 1, 2025 - Feb 28, 2025",,,,,,,,,,
"# Segments: IRCC - EN & FR, Public traffic",,,,,,,,,,
#=================================================================,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Top pages (E/F) ,,,,,,,,,,
##############################################,,,,,,,,,,
,Visits,,,,,,,,,
Page URL (v12),22750715,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/services/application/account.html,3692144,,,,,,,,,
www.canada.ca/en/services/immigration-citizenship.html,1887686,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/services/application/ircc-accounts.html,1630301,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times.html,1093415,,,,,,,,,
ircc.canada.ca/english/helpcentre/answer.asp,968638,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status.html,890821,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/check-score.html,773975,,,,,,,,,
www.canada.ca/fr/immigration-refugies-citoyennete/services/demande/compte.html,752478,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/rounds-invitations.html,732121,,,,,,,,,
www.canada.ca/en/immigration-refugees-citizenship/services/application.html,594902,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Top 10 topics on theme page,,,,,,,,,,
##############################################,,,,,,,,,,
,,Activity Map Link Instances,,,,,,,,
Activity Map Page,,3190361,,,,,,,,
Immigration and citizenship,,3190361,,,,,,,,
Immigration and citizenship,Activity Map Link,695508,,,,,,,,
Immigration and citizenship,My application,306200,,,,,,,,
Immigration and citizenship,Immigrate,121062,,,,,,,,
Immigration and citizenship,Visit,88159,,,,,,,,
Immigration and citizenship,Work,83912,,,,,,,,
Immigration and citizenship,Study,42309,,,,,,,,
Immigration and citizenship,Citizenship,37051,,,,,,,,
Immigration and citizenship,Refugees and asylum,9466,,,,,,,,
Immigration and citizenship,Canadians,5596,,,,,,,,
Immigration and citizenship,Immigration fraud and scams,1723,,,,,,,,
Immigration and citizenship,Enforcement and violations,29,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Top visit programs,,,,,,,,,,
##############################################,,,,,,,,,,
,,Activity Map Link Instances,,,,,,,,
Activity Map Page,,498725,,,,,,,,
Visit Canada,,498725,,,,,,,,
Visit Canada,Activity Map Link,229715,,,,,,,,
Visit Canada,Apply for a visitor visa,157257,,,,,,,,
Visit Canada,Apply for an Electronic Travel Authorization (eTA),26045,,,,,,,,
Visit Canada,Stay in Canada longer,19575,,,,,,,,
Visit Canada,Visitor visas for workers and students,13563,,,,,,,,
Visit Canada,Visit your children or grandchildren,7176,,,,,,,,
Visit Canada,Visit Canada on business,3106,,,,,,,,
Visit Canada,Transit through Canada,2993,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
##############################################,,,,,,,,,,
# Top 10 work programs,,,,,,,,,,
##############################################,,,,,,,,,,
,,Activity Map Link Instances,,,,,,,,
Activity Map Page,,167549,,,,,,,,
Get a work permit,,167549,,,,,,,,
Get a work permit,Activity Map Link,49141,,,,,,,,
Get a work permit,Temporary workers,21502,,,,,,,,
Get a work permit,Caregivers,9095,,,,,,,,
Get a work permit,Work and travel in Canada with International Experience Canada,4632,,,,,,,,
Get a work permit,Agricultural workers,3892,,,,,,,,
