"Link","Clicks",
"Demander un visa de visiteur",34522,
"Se connecter à votre compte d'IRCC",10092,
"Vérifier si vous avez besoin d’un visa ou d'une AVE",9671,
"Présenter une demande d’autorisation de voyage électronique (AVE)",9605,
"Visas de visiteurs pour les travailleurs et les étudiants",3022,
"Vérifier l’état de votre demande",2778,
"Vérifier les délais de traitement",2748,
"Prolonger votre séjour au Canada",1886,
"Solicitar una visa de visitante",1578,
"Rendre visite à vos enfants et petits-enfants",1360,
