"Link","Clicks",
"Ouvrez une session dans votre compte de demande de permis d’études",8694,
"Obtenir un permis d’études",7882,
"Faire prolonger un permis d’études ou rétablir son statuts",3074,
"Vérifiez si vous avez besoin d’un permis d’études",3046,
"Choisir une école, un collège ou une université",2523,
"Travailler pendant ses études",2428,
"Trouver un établissement d’enseignement (établissement d’enseignement désigné)",2289,
"Apprenez-en davantage sur la lettre d’attestation provinciale.",2261,
"Apprenez en plus sur les changements aux conditions pour l’obtention d’un permis de travail ouvert",2254,
"Obtenir un permis d’études plus rapidement",1910,
