"Page title","Visits",
"Sign in to your IRCC secure account",5191209,
"Immigration and citizenship",2383247,
"Check processing times",1270975,
"My application",1087404,
"How to check your application status",1064000,
"Sign in: Immigration, Refugees and Citizenship Canada accounts",1039597,
"Ouvrir une session dans votre compte sécurisé d’IRCC",999015,
"How to apply for a visitor visa",582808,
"We’re sorry, something went wrong / Nous sommes désolés, un problème est survenu",579534,
"Client Application Status",570143,
