"Day","Page Views per Visit","Page Views per Visit - Month before","Page Views","Page Views - Month before","Visits","Visits - Month before","Daily average visits","Daily average visits - Month before","Daily average page views","Daily average page views - Month before",
"Totals",3.2153456337774,3.37149367731721,2967333,2478244,25805464,25115130,832434.322580645,837171,2676564.06451612,2822516.73333333,
"5/1/2024",3.20855887320532,3.16548707042451,2921979,3038054,924818,782895,924818,782895,2967333,2478244,
"5/2/2024",3.17365629120515,3.23255695178915,2672905,3050431,920698,939830,920698,939830,2921979,3038054,
"5/3/2024",3.13045550742001,3.22449231992169,1939316,2778054,853839,946019,853839,946019,2672905,3050431,
"5/4/2024",3.18361664929287,3.10653253744428,2008009,2513095,609155,894262,609155,894262,1939316,2778054,
"5/5/2024",3.33652750130436,3.04292628114704,3325528,1878459,601826,825881,601826,825881,2008009,2513095,
"5/6/2024",3.41397381974821,3.16822931160978,3296791,2027576,974093,592905,974093,592905,3325528,1878459,
"5/7/2024",3.228422692638,3.53808247480246,3310177,3085492,1021177,573072,1021177,573072,3296791,2027576,
"5/8/2024",3.09184627527168,3.50945525105949,2969060,2911381,1070615,879194,1070615,879194,3310177,3085492,
"5/9/2024",3.12839543636493,3.23035963144766,2571058,2705589,949068,901256,949068,901256,2969060,2911381,
"5/10/2024",3.11408233540005,3.05250634625148,1804815,2864065,825623,886350,825623,886350,2571058,2705589,
"5/11/2024",3.16544800503717,3.06991179563254,1770816,2547229,570161,932947,570161,932947,1804815,2864065,
"5/12/2024",3.25188871545312,3.10922442383207,3085644,1843832,544550,819249,544550,819249,1770816,2547229,
"5/13/2024",3.25375923199892,3.194237375636,3277857,2116905,948332,577237,948332,577237,3085644,1843832,
"5/14/2024",3.27802090104505,3.65114558324364,3044425,3535103,999950,579792,999950,579792,3277857,2116905,
"5/15/2024",3.18079855734772,3.66621795264027,2848995,2993074,957126,964237,957126,964237,3044425,3535103,
"5/16/2024",3.16031090680782,3.23165060598698,2552363,3004977,901492,926175,901492,926175,2848995,2993074,
"5/17/2024",3.16356346058502,3.27067342647295,1794218,2816208,806800,918764,806800,918764,2552363,3004977,
"5/18/2024",3.1986771850069,3.20243075652975,1652246,2547147,560925,879397,560925,879397,1794218,2816208,
"5/19/2024",3.26609577803343,3.18862102290366,2355256,2248091,505878,798824,505878,798824,1652246,2547147,
"5/20/2024",3.35619382014466,3.75653523781514,3070805,3207627,701764,598448,701764,598448,2355256,2248091,
"5/21/2024",3.2193354810911,4.84164997501913,3085178,3620552,953863,662507,953863,662507,3070805,3207627,
"5/22/2024",3.193647027647,3.52313382656174,3000384,3357302,966036,1027651,966036,1027651,3085178,3620552,
"5/23/2024",3.13742680274385,3.3039563212373,2647863,3114277,956320,1016146,956320,1016146,3000384,3357302,
"5/24/2024",3.12624398007506,3.17160696754534,1859245,3016388,846979,981924,846979,981924,2647863,3114277,
"5/25/2024",3.17693123935253,3.18405391083684,1849799,2606262,585233,947342,585233,947342,1859245,3016388,
"5/26/2024",3.26565167422555,3.14229702211081,3128651,2266950,566441,829413,566441,829413,1849799,2606262,
"5/27/2024",3.26368941315886,3.53031591340179,3196680,3327201,958624,642138,958624,642138,3128651,2266950,
"5/28/2024",3.254091944171,4.74845688042232,3133893,4057438,982357,700691,982357,700691,3196680,3327201,
"5/29/2024",3.23470918104564,3.48283321115691,3023191,3118499,968833,1164982,968833,1164982,3133893,4057438,
"5/30/2024",3.17893998565729,3.0948143855077,2809006,0,951006,1007653,951006,1007653,3023191,3118499,
"5/31/2024",3.11949910435363,0,,,900467,0,900467,0,2809006,0,
