"Day","% of IRCC traffic to special measures","Month before",
"6/1/2024",0.006,0.005,
"6/2/2024",0.007,0.005,
"6/3/2024",0.004,0.005,
"6/4/2024",0.005,0.007,
"6/5/2024",0.005,0.008,
"6/6/2024",0.005,0.006,
"6/7/2024",0.005,0.005,
"6/8/2024",0.006,0.005,
"6/9/2024",0.006,0.005,
"6/10/2024",0.005,0.005,
"6/11/2024",0.005,0.006,
"6/12/2024",0.005,0.007,
"6/13/2024",0.005,0.005,
"6/14/2024",0.005,0.005,
"6/15/2024",0.006,0.005,
"6/16/2024",0.006,0.005,
"6/17/2024",0.004,0.005,
"6/18/2024",0.005,0.006,
"6/19/2024",0.005,0.007,
"6/20/2024",0.005,0.006,
"6/21/2024",0.005,0.005,
"6/22/2024",0.007,0.005,
"6/23/2024",0.008,0.005,
"6/24/2024",0.006,0.005,
"6/25/2024",0.005,0.006,
"6/26/2024",0.005,0.006,
"6/27/2024",0.005,0.005,
"6/28/2024",0.005,0.005,
"6/29/2024",0.007,0.005,
"6/30/2024",0.008,0.005,
,"","",
