"Link","Clicks",
"Ouvrir une session ou créer un compte",6192,
"Déterminer si vous avez besoin d’un permis de travail",4714,
"Travailleurs temporaires",4430,
"Permis de travail ouvert pour les membres de votre famille",1645,
"Vérifier les délais de traitement",1331,
"Travailler et voyager au Canada avec Expérience internationale Canada",1239,
"Outbound Link - https://www.guichetemplois.gc.ca/trouverunemploi/immigrants",1219,
"Permis de travail ouvert pour les travailleurs étrangers vulnérables",1086,
"Travailleurs d’expression française hors du Québec",968,
"Explorer les programmes d’immigration",905,
