"Task","TSS completion","TSS ease","TSS satisfaction","Surveys completed",
"Check processing times",0.829307568438003,0.727858293075684,0.566827697262479,1242,
"Apply for an Electronic Travel Authorization (eTA)",0.815765069551777,0.653477588871715,0.621638330757341,3235,
"Apply for a work permit",0.794625275107147,0.592262249507703,0.594231437507239,8633,
"Apply for a study permit",0.773275446213217,0.595754944524843,0.648335745296671,2073,
"Apply for Canadian citizenship",0.768880208333333,0.637369791666666,0.641276041666666,1536,
"Apply for a visitor visa to Canada",0.765587240212663,0.592395682294183,0.594328983405832,6207,
"Apply for a new Canadian passport",0.764705882352941,0.638408304498269,0.586505190311418,578,
"Renew a Canadian passport",0.761707988980716,0.651056014692378,0.601469237832874,2178,
"Check your application status",0.756789378394689,0.604103802051901,0.540283645141822,6628,
"Immigrate through Express Entry",0.745454545454545,0.631818181818181,0.636363636363636,2640,
"Immigrate as a provincial nominee",0.702865761689291,0.615384615384615,0.613876319758672,663,
"Sponsor your family members to immigrate to Canada",0.64756446991404,0.551575931232091,0.521489971346704,698,
"IRCC accounts - sign in and register",0.63912429378531,0.453389830508474,0.501412429378531,1416,
"Contact Immigration, Refugees and Citizenship Canada",0.603980099502487,0.50547263681592,0.507462686567164,1005,
"Check the status of a passport application",0.599721059972106,0.659693165969316,0.375174337517433,717,
"Get, renew or replace a permanent resident card",0.506968641114982,0.386759581881533,0.418118466898954,574,
"Apply for a start-up visa",0,1,1,6,
"Immigrate as a Quebec-selected skilled worker",0,1,0,1,
"Immigrate as a self-employed person",0,0.714285714285714,1,7,
"Find a designated learning institution",0,0.691358024691358,0.660493827160493,162,
"Find out if you need to give your fingerprints and photo (biometrics) and where to do that",0,0.659574468085106,0.712765957446808,94,
"Find your National Occupational Classification (NOC)",0,0.627358490566037,0.608490566037735,212,
"Check if you need a visa or electronic travel authorization (eTA) to travel to Canada",0,0.618296529968454,0.586750788643533,317,
"Apply through the Post-graduation work permit program",0,0.6,0.8,5,
"Work in Canada after my studies",0,0.6,0.7,10,
