"Link","Clicks",
"Ouvrez une session dans votre compte de demande de permis d’études",12713,
"Obtenir un permis d’études",6237,
"Trouver un établissement d’enseignement (établissement d’enseignement désigné)",4023,
"Faire prolonger un permis d’études ou rétablir son statuts",3143,
"Vérifiez si vous avez besoin d’un permis d’études",3123,
"Choisir une école, un collège ou une université",2972,
"Travailler pendant ses études",1136,
"Navigation Tracking",903,
"Obtenir un permis de travail postdiplôme",879,
"Recherche",859,
