"Task","TSS completion","TSS ease","TSS satisfaction","Surveys completed",
"Check processing times",0.84313725490196,0.701357466063348,0.58446455505279,1326,
"Apply for a work permit",0.818474576271186,0.583135593220339,0.593135593220338,11800,
"Apply for an Electronic Travel Authorization (eTA)",0.811267605633802,0.663661971830986,0.615211267605633,1775,
"Study in Canada – for non-Canadians",0.797540208136234,0.631977294228949,0.669820245979186,2114,
"Apply for Canadian citizenship",0.79659266907589,0.60557563242127,0.6133195663397,3874,
"Apply for a new Canadian passport",0.789106145251396,0.62290502793296,0.634078212290502,716,
"Check if you need a visa or electronic travel authorization (eTA) to travel to Canada",0.787571617452622,0.622741295724988,0.597179374173644,2269,
"Check your application status",0.785853658536585,0.64650406504065,0.589430894308943,6150,
"Apply for a visitor visa to Canada",0.784771261897451,0.577525330058335,0.601780779858765,3257,
"Renew a Canadian passport",0.773413897280966,0.661295736824437,0.620342396777442,2979,
"Find a visa application centre",0.724394785847299,0.523277467411545,0.605214152700186,537,
"Immigrate through Express Entry",0.723923444976076,0.652153110047846,0.652631578947368,2090,
"How to extend your stay in Canada",0.710900473933649,0.533175355450237,0.556872037914692,422,
"Immigrate as a provincial nominee",0.701643489254108,0.619469026548672,0.599241466498103,791,
"Contact Immigration, Refugees and Citizenship Canada",0.659116647791619,0.504530011325028,0.508493771234428,1766,
"IRCC secure account - register, sign in, help",0.654353562005277,0.518469656992084,0.531662269129287,758,
"Sponsor your family members to immigrate to Canada",0.641744548286604,0.55607476635514,0.509345794392523,642,
"Find an IRCC application package or form",0.633587786259541,0.458015267175572,0.522137404580152,655,
"Check the status of a passport application",0.632890365448505,0.677740863787375,0.473421926910299,602,
"Get, renew or replace a permanent resident card",0.539772727272727,0.389204545454545,0.407670454545454,704,
"Immigrate as a Quebec-selected skilled worker",0,1,0.666666666666666,3,
"Apply for a permanent resident travel document",0,0.857142857142857,0.857142857142857,7,
"Work in Canada after my studies",0,0.833333333333333,0.833333333333333,12,
"Immigrate to Canada",0,0.8,0.4,10,
"Pensions and retirement",0,0.75,1,4,
