"IRCC campaigns (E/F)","Visits",
"How to give your fingerprints and photo",1058,
"Choisir le Canada",940,
"Facts about biometrics",591,
"Cambios en los requisitos para las autorizaciones electrónicas de viaje (eTA) y las visas de visitante para los ciudadanos mexicanos",266,
"Biometrics and privacy",237,
"Changes to electronic travel authorization (eTA) and visitor visa requirements for Mexican citizens",233,
"An Immigration System for Canada’s Future: Strengthening our communities",211,
"Comment fournir vos empreintes digitales et votre photo (données biométriques)",203,
"Temporary measures for biometric collection",160,
"Les faits concernant la biométrie",126,
