"Day","Page Views per Visit","Page Views per Visit - Month before","Page Views","Page Views - Month before","Visits","Visits - Month before","Daily average visits","Daily average visits - Month before","Daily average page views","Daily average page views - Month before",
"Totals",3.37149466594163,3.10455365591555,2478240,3893679,25115117,26641890,837170.566666666,888063,2822516.1,2757039.23333333,
"4/1/2024",3.16548600449102,3.37055824820399,3038054,2345444,782894,1155203,782894,1155203,2478240,3893679,
"4/2/2024",3.23255695178915,3.08815033087644,3050430,2365164,939830,759498,939830,759498,3038054,2345444,
"4/3/2024",3.22449467134874,3.1942984712999,2778054,3310125,946018,740433,946018,740433,3050430,2365164,
"4/4/2024",3.10653253744428,3.15164455362116,2513094,3265427,894262,1050285,894262,1050285,2778054,3310125,
"4/5/2024",3.04292875478277,3.10364633133293,1878457,3229132,825880,1052126,825880,1052126,2513094,3265427,
"4/6/2024",3.16823128196132,3.03572019493998,2027576,3032194,592904,1063712,592904,1063712,1878457,3229132,
"4/7/2024",3.53808247480246,3.01673024078573,3085491,2585367,573072,1005126,573072,1005126,2027576,3032194,
"4/8/2024",3.50945810533068,2.97590378087565,2911379,2046960,879193,868767,879193,868767,3085491,2585367,
"4/9/2024",3.23036458090616,3.04785841698853,2705589,2036220,901254,671606,901254,671606,2911379,2046960,
"4/10/2024",3.05250634625148,3.13076769323021,2864065,3083539,886350,650390,886350,650390,2705589,2036220,
"4/11/2024",3.06991179563254,3.0830857863894,2547228,3378247,932947,1000147,932947,1000147,2864065,3083539,
"4/12/2024",3.10922699841806,3.13013091292516,1843831,3188017,819248,1079267,819248,1079267,2547228,3378247,
"4/13/2024",3.19424117691897,3.01975046461094,2116905,2923769,577236,1055722,577236,1055722,1843831,3188017,
"4/14/2024",3.65114558324364,3.01745182686879,3535103,2596988,579792,968953,579792,968953,2116905,2923769,
"4/15/2024",3.66621795264027,2.98934558698264,2993074,1999291,964237,868748,964237,868748,3535103,2596988,
"4/16/2024",3.23165060598698,3.05153271792617,3004977,2059993,926175,655176,926175,655176,2993074,1999291,
"4/17/2024",3.27067342647295,3.17768731450572,2816208,3092379,918764,648268,918764,648268,3004977,2059993,
"4/18/2024",3.20243075652975,3.12687468148615,2547147,3527576,879397,988968,879397,988968,2816208,3092379,
"4/19/2024",3.18862102290366,3.21699155073435,2248091,3109504,798824,1096545,798824,1096545,2547147,3527576,
"4/20/2024",3.75653523781514,3.05297211534024,3207626,2996748,598448,1018517,598448,1018517,2248091,3109504,
"4/21/2024",4.84165577368355,3.04879085997985,3620552,2754226,662506,982930,662506,982930,3207626,2996748,
"4/22/2024",3.52313382656174,3.02698455089675,3357301,2112418,1027651,909891,1027651,909891,3620552,2754226,
"4/23/2024",3.30395858858725,3.10838037163693,3114275,2087530,1016145,679588,1016145,679588,3357301,2112418,
"4/24/2024",3.17160816072136,3.19906397116516,3016388,3102480,981923,652544,981923,652544,3114275,2087530,
"4/25/2024",3.18405391083684,3.1231427121838,2606262,3163151,947342,993384,947342,993384,3016388,3102480,
"4/26/2024",3.14229702211081,3.07654622380002,2266950,2973981,829413,1028150,829413,1028150,2606262,3163151,
"4/27/2024",3.53031591340179,3.05287021933791,3327201,2620201,642138,974159,642138,974159,2266950,2973981,
"4/28/2024",4.74845688042232,3.01765654332078,4057436,2076072,700691,868290,700691,868290,3327201,2620201,
"4/29/2024",3.48283448399587,3.09121906840797,3118499,1755355,1164981,671603,1164981,671603,4057436,2076072,
"4/30/2024",3.0948143855077,3.09884827364622,,,1007653,566454,1007653,566454,3118499,1755355,
,,,,,,,,,,,
